input,issues
"Drone log, vbat avg=22.08V (min=10.14V), amperage max=15.38A, rssi avg=95 (min=72), motor imbalance=234, gyro variability=1.059, acc variability=23.234, GPS sats min=2, GPS speed max=2.39 m/s, alt avg=131.6m, throttle avg=1435, failsafe phase=1, rx signal quality=0.81 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.39V (min=22.27V), amperage max=5.85A, rssi avg=51 (min=51), motor imbalance=346, gyro variability=0.135, acc variability=0.075, GPS sats min=13, GPS speed max=11.62 m/s, alt avg=659.6m, throttle avg=1159, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.81V (min=22.5V), amperage max=16.06A, rssi avg=35 (min=37), motor imbalance=156, gyro variability=1.33, acc variability=12.015, GPS sats min=12, GPS speed max=14.02 m/s, alt avg=66.7m, throttle avg=1282, failsafe phase=0, rx signal quality=0.14 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.8V (min=11.78V), amperage max=12.15A, rssi avg=26 (min=23), motor imbalance=8, gyro variability=0.203, acc variability=16.669, GPS sats min=3, GPS speed max=14.95 m/s, alt avg=76.2m, throttle avg=1715, failsafe phase=0, rx signal quality=0.45 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=21.38V (min=21.3V), amperage max=6.42A, rssi avg=36 (min=35), motor imbalance=565, gyro variability=0.553, acc variability=0.154, GPS sats min=15, GPS speed max=16.38 m/s, alt avg=474.4m, throttle avg=1176, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.6V (min=21.54V), amperage max=6.47A, rssi avg=37 (min=36), motor imbalance=372, gyro variability=0.093, acc variability=0.103, GPS sats min=15, GPS speed max=21.95 m/s, alt avg=674.1m, throttle avg=1183, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.46V (min=12.17V), amperage max=9.95A, rssi avg=30 (min=46), motor imbalance=241, gyro variability=0.801, acc variability=11.987, GPS sats min=9, GPS speed max=10.17 m/s, alt avg=139.3m, throttle avg=1785, failsafe phase=0, rx signal quality=0.97 → What issues occurred?",no issue
"Drone log, vbat avg=20.34V (min=16.86V), amperage max=16.88A, rssi avg=93 (min=82), motor imbalance=119, gyro variability=2.231, acc variability=18.486, GPS sats min=7, GPS speed max=16.68 m/s, alt avg=111.1m, throttle avg=1037, failsafe phase=0, rx signal quality=0.01 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.76V (min=21.6V), amperage max=7.1A, rssi avg=34 (min=34), motor imbalance=446, gyro variability=0.07, acc variability=0.122, GPS sats min=14, GPS speed max=21.33 m/s, alt avg=572.1m, throttle avg=1190, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.53V (min=8.83V), amperage max=11.13A, rssi avg=22 (min=35), motor imbalance=280, gyro variability=0.974, acc variability=8.099, GPS sats min=9, GPS speed max=17.89 m/s, alt avg=91.0m, throttle avg=1215, failsafe phase=1, rx signal quality=0.03 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.92V (min=13.58V), amperage max=20.97A, rssi avg=84 (min=54), motor imbalance=351, gyro variability=2.832, acc variability=4.434, GPS sats min=7, GPS speed max=10.29 m/s, alt avg=51.0m, throttle avg=1139, failsafe phase=1, rx signal quality=0.04 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=21.31V (min=19.92V), amperage max=23.27A, rssi avg=65 (min=53), motor imbalance=70, gyro variability=4.67, acc variability=5.142, GPS sats min=6, GPS speed max=1.65 m/s, alt avg=114.9m, throttle avg=1371, failsafe phase=1, rx signal quality=0.99 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=20.4V (min=17.37V), amperage max=6.02A, rssi avg=24 (min=69), motor imbalance=181, gyro variability=3.504, acc variability=25.995, GPS sats min=8, GPS speed max=15.9 m/s, alt avg=54.7m, throttle avg=1532, failsafe phase=0, rx signal quality=0.78 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=23.27V (min=21.82V), amperage max=10.68A, rssi avg=47 (min=21), motor imbalance=309, gyro variability=1.064, acc variability=29.424, GPS sats min=12, GPS speed max=15.13 m/s, alt avg=128.2m, throttle avg=1237, failsafe phase=1, rx signal quality=0.22 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=21.83V (min=21.48V), amperage max=14.3A, rssi avg=47 (min=46), motor imbalance=610, gyro variability=0.059, acc variability=0.605, GPS sats min=14, GPS speed max=22.29 m/s, alt avg=649.2m, throttle avg=1280, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.93V (min=17.39V), amperage max=13.54A, rssi avg=43 (min=86), motor imbalance=272, gyro variability=3.986, acc variability=31.214, GPS sats min=12, GPS speed max=7.94 m/s, alt avg=61.4m, throttle avg=1161, failsafe phase=1, rx signal quality=0.22 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=20.12V (min=19.05V), amperage max=23.91A, rssi avg=33 (min=41), motor imbalance=340, gyro variability=2.258, acc variability=13.696, GPS sats min=0, GPS speed max=21.74 m/s, alt avg=118.2m, throttle avg=1656, failsafe phase=0, rx signal quality=0.23 → What issues occurred?",prop wash; motor desync; failsafe triggered; gps loss
"Drone log, vbat avg=21.85V (min=21.75V), amperage max=4.97A, rssi avg=35 (min=34), motor imbalance=226, gyro variability=0.041, acc variability=0.107, GPS sats min=14, GPS speed max=18.79 m/s, alt avg=653.1m, throttle avg=1152, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.34V (min=20.03V), amperage max=16.52A, rssi avg=79 (min=69), motor imbalance=28, gyro variability=2.55, acc variability=26.856, GPS sats min=3, GPS speed max=7.65 m/s, alt avg=128.4m, throttle avg=1696, failsafe phase=0, rx signal quality=0.26 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.99V (min=9.82V), amperage max=7.96A, rssi avg=61 (min=49), motor imbalance=336, gyro variability=3.908, acc variability=23.027, GPS sats min=4, GPS speed max=0.61 m/s, alt avg=76.1m, throttle avg=1438, failsafe phase=1, rx signal quality=0.21 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=22.21V (min=13.8V), amperage max=14.93A, rssi avg=42 (min=90), motor imbalance=363, gyro variability=4.619, acc variability=17.334, GPS sats min=8, GPS speed max=20.71 m/s, alt avg=142.3m, throttle avg=1508, failsafe phase=0, rx signal quality=0.99 → What issues occurred?",prop wash; motor desync
"Drone log, vbat avg=23.36V (min=20.29V), amperage max=13.11A, rssi avg=54 (min=71), motor imbalance=279, gyro variability=4.862, acc variability=1.916, GPS sats min=2, GPS speed max=10.58 m/s, alt avg=142.0m, throttle avg=1312, failsafe phase=0, rx signal quality=0.92 → What issues occurred?",motor desync
"Drone log, vbat avg=23.82V (min=17.18V), amperage max=11.21A, rssi avg=23 (min=73), motor imbalance=326, gyro variability=4.146, acc variability=7.56, GPS sats min=2, GPS speed max=24.41 m/s, alt avg=80.3m, throttle avg=1538, failsafe phase=0, rx signal quality=0.43 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=22.27V (min=19.5V), amperage max=11.3A, rssi avg=53 (min=68), motor imbalance=199, gyro variability=2.038, acc variability=32.327, GPS sats min=14, GPS speed max=15.14 m/s, alt avg=81.5m, throttle avg=1739, failsafe phase=1, rx signal quality=0.73 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.64V (min=17.27V), amperage max=22.39A, rssi avg=78 (min=47), motor imbalance=138, gyro variability=1.061, acc variability=7.594, GPS sats min=4, GPS speed max=15.23 m/s, alt avg=142.4m, throttle avg=1278, failsafe phase=0, rx signal quality=0.86 → What issues occurred?",no issue
"Drone log, vbat avg=22.24V (min=21.63V), amperage max=9.67A, rssi avg=32 (min=32), motor imbalance=671, gyro variability=0.311, acc variability=0.264, GPS sats min=14, GPS speed max=17.91 m/s, alt avg=602.1m, throttle avg=1105, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.01V (min=11.89V), amperage max=22.7A, rssi avg=93 (min=80), motor imbalance=86, gyro variability=2.438, acc variability=34.66, GPS sats min=10, GPS speed max=12.41 m/s, alt avg=113.8m, throttle avg=1385, failsafe phase=1, rx signal quality=0.6 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.93V (min=23.66V), amperage max=7.17A, rssi avg=57 (min=56), motor imbalance=367, gyro variability=0.067, acc variability=0.237, GPS sats min=8, GPS speed max=11.99 m/s, alt avg=524.4m, throttle avg=1110, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.35V (min=16.11V), amperage max=23.52A, rssi avg=99 (min=56), motor imbalance=80, gyro variability=3.851, acc variability=22.193, GPS sats min=4, GPS speed max=0.86 m/s, alt avg=77.7m, throttle avg=1633, failsafe phase=0, rx signal quality=0.56 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=20.6V (min=19.55V), amperage max=10.36A, rssi avg=25 (min=35), motor imbalance=53, gyro variability=3.978, acc variability=26.774, GPS sats min=2, GPS speed max=20.46 m/s, alt avg=128.9m, throttle avg=1596, failsafe phase=1, rx signal quality=0.96 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=18.52V (min=18.41V), amperage max=3.97A, rssi avg=43 (min=43), motor imbalance=393, gyro variability=0.14, acc variability=0.1, GPS sats min=15, GPS speed max=13.06 m/s, alt avg=481.1m, throttle avg=1142, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.37V (min=22.28V), amperage max=3.87A, rssi avg=33 (min=32), motor imbalance=240, gyro variability=0.044, acc variability=0.232, GPS sats min=13, GPS speed max=14.3 m/s, alt avg=648.0m, throttle avg=1103, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.85V (min=21.55V), amperage max=12.9A, rssi avg=44 (min=44), motor imbalance=656, gyro variability=0.071, acc variability=0.423, GPS sats min=14, GPS speed max=6.97 m/s, alt avg=654.7m, throttle avg=1211, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.58V (min=18.3V), amperage max=7.41A, rssi avg=40 (min=77), motor imbalance=72, gyro variability=0.106, acc variability=13.208, GPS sats min=5, GPS speed max=22.98 m/s, alt avg=113.0m, throttle avg=1615, failsafe phase=1, rx signal quality=0.93 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.58V (min=21.43V), amperage max=5.92A, rssi avg=28 (min=27), motor imbalance=511, gyro variability=0.058, acc variability=0.19, GPS sats min=16, GPS speed max=12.79 m/s, alt avg=584.6m, throttle avg=1147, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.17V (min=18.9V), amperage max=21.64A, rssi avg=86 (min=53), motor imbalance=240, gyro variability=3.728, acc variability=2.89, GPS sats min=0, GPS speed max=2.49 m/s, alt avg=125.2m, throttle avg=1348, failsafe phase=0, rx signal quality=0.08 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=22.19V (min=13.88V), amperage max=6.75A, rssi avg=75 (min=68), motor imbalance=373, gyro variability=4.73, acc variability=29.342, GPS sats min=14, GPS speed max=18.24 m/s, alt avg=72.1m, throttle avg=1191, failsafe phase=0, rx signal quality=0.48 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=22.46V (min=22.35V), amperage max=5.22A, rssi avg=38 (min=38), motor imbalance=208, gyro variability=0.066, acc variability=0.062, GPS sats min=13, GPS speed max=17.8 m/s, alt avg=704.3m, throttle avg=1153, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.59V (min=21.48V), amperage max=6.42A, rssi avg=40 (min=40), motor imbalance=352, gyro variability=0.054, acc variability=0.093, GPS sats min=15, GPS speed max=18.37 m/s, alt avg=717.9m, throttle avg=1189, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.6V (min=9.94V), amperage max=14.78A, rssi avg=50 (min=55), motor imbalance=332, gyro variability=1.666, acc variability=27.107, GPS sats min=9, GPS speed max=19.58 m/s, alt avg=74.9m, throttle avg=1225, failsafe phase=1, rx signal quality=0.09 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=18.78V (min=18.7V), amperage max=4.25A, rssi avg=42 (min=41), motor imbalance=344, gyro variability=0.112, acc variability=0.061, GPS sats min=16, GPS speed max=9.37 m/s, alt avg=505.5m, throttle avg=1158, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.34V (min=11.61V), amperage max=22.17A, rssi avg=27 (min=26), motor imbalance=356, gyro variability=3.312, acc variability=0.688, GPS sats min=12, GPS speed max=16.08 m/s, alt avg=73.8m, throttle avg=1367, failsafe phase=0, rx signal quality=0.35 → What issues occurred?",rssi drop; motor desync; failsafe triggered
"Drone log, vbat avg=22.85V (min=22.76V), amperage max=5.15A, rssi avg=37 (min=37), motor imbalance=180, gyro variability=0.035, acc variability=0.067, GPS sats min=11, GPS speed max=18.63 m/s, alt avg=804.2m, throttle avg=1149, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.55V (min=21.37V), amperage max=5.85A, rssi avg=33 (min=33), motor imbalance=383, gyro variability=0.074, acc variability=0.147, GPS sats min=16, GPS speed max=11.8 m/s, alt avg=605.4m, throttle avg=1153, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.86V (min=13.53V), amperage max=8.18A, rssi avg=67 (min=58), motor imbalance=207, gyro variability=4.25, acc variability=31.427, GPS sats min=11, GPS speed max=4.28 m/s, alt avg=121.1m, throttle avg=1055, failsafe phase=0, rx signal quality=0.21 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=20.88V (min=20.78V), amperage max=4.9A, rssi avg=49 (min=48), motor imbalance=243, gyro variability=0.056, acc variability=0.086, GPS sats min=15, GPS speed max=19.0 m/s, alt avg=574.6m, throttle avg=1166, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.44V (min=21.29V), amperage max=4.7A, rssi avg=42 (min=42), motor imbalance=317, gyro variability=0.101, acc variability=0.073, GPS sats min=15, GPS speed max=18.68 m/s, alt avg=473.0m, throttle avg=1135, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.66V (min=11.77V), amperage max=10.77A, rssi avg=48 (min=65), motor imbalance=134, gyro variability=1.422, acc variability=34.073, GPS sats min=13, GPS speed max=5.21 m/s, alt avg=86.6m, throttle avg=1400, failsafe phase=0, rx signal quality=0.09 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=18.44V (min=18.35V), amperage max=3.7A, rssi avg=50 (min=49), motor imbalance=351, gyro variability=0.038, acc variability=0.128, GPS sats min=15, GPS speed max=14.17 m/s, alt avg=463.1m, throttle avg=1139, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.79V (min=21.64V), amperage max=5.65A, rssi avg=35 (min=35), motor imbalance=289, gyro variability=0.076, acc variability=0.091, GPS sats min=14, GPS speed max=22.85 m/s, alt avg=576.4m, throttle avg=1164, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.02V (min=21.91V), amperage max=5.0A, rssi avg=32 (min=31), motor imbalance=191, gyro variability=0.033, acc variability=0.061, GPS sats min=14, GPS speed max=17.08 m/s, alt avg=604.4m, throttle avg=1152, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.98V (min=12.26V), amperage max=6.3A, rssi avg=89 (min=17), motor imbalance=29, gyro variability=2.402, acc variability=27.985, GPS sats min=4, GPS speed max=19.54 m/s, alt avg=132.0m, throttle avg=1071, failsafe phase=1, rx signal quality=0.82 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=23.66V (min=9.0V), amperage max=18.68A, rssi avg=67 (min=52), motor imbalance=179, gyro variability=3.602, acc variability=4.502, GPS sats min=0, GPS speed max=0.01 m/s, alt avg=114.1m, throttle avg=1382, failsafe phase=1, rx signal quality=0.87 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=21.19V (min=13.56V), amperage max=24.08A, rssi avg=82 (min=73), motor imbalance=362, gyro variability=2.582, acc variability=14.549, GPS sats min=7, GPS speed max=11.14 m/s, alt avg=73.1m, throttle avg=1725, failsafe phase=1, rx signal quality=0.61 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=22.75V (min=11.58V), amperage max=9.38A, rssi avg=94 (min=88), motor imbalance=233, gyro variability=1.78, acc variability=38.824, GPS sats min=6, GPS speed max=23.68 m/s, alt avg=103.4m, throttle avg=1221, failsafe phase=0, rx signal quality=0.33 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.99V (min=11.8V), amperage max=7.46A, rssi avg=85 (min=26), motor imbalance=184, gyro variability=3.098, acc variability=11.867, GPS sats min=10, GPS speed max=16.51 m/s, alt avg=116.1m, throttle avg=1627, failsafe phase=1, rx signal quality=0.34 → What issues occurred?",prop wash; rssi drop; failsafe triggered
"Drone log, vbat avg=21.78V (min=21.61V), amperage max=8.12A, rssi avg=34 (min=33), motor imbalance=729, gyro variability=0.176, acc variability=0.287, GPS sats min=14, GPS speed max=19.31 m/s, alt avg=682.5m, throttle avg=1155, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.3V (min=19.12V), amperage max=11.85A, rssi avg=93 (min=88), motor imbalance=151, gyro variability=3.242, acc variability=6.405, GPS sats min=6, GPS speed max=17.11 m/s, alt avg=125.3m, throttle avg=1494, failsafe phase=0, rx signal quality=0.57 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=23.82V (min=23.72V), amperage max=5.05A, rssi avg=54 (min=53), motor imbalance=178, gyro variability=0.038, acc variability=0.059, GPS sats min=8, GPS speed max=13.88 m/s, alt avg=568.8m, throttle avg=1136, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=15.55V (min=15.24V), amperage max=7.52A, rssi avg=54 (min=53), motor imbalance=1699, gyro variability=0.283, acc variability=0.388, GPS sats min=14, GPS speed max=0.11 m/s, alt avg=489.2m, throttle avg=1000, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.74V (min=22.61V), amperage max=5.05A, rssi avg=40 (min=40), motor imbalance=163, gyro variability=0.042, acc variability=0.115, GPS sats min=11, GPS speed max=16.19 m/s, alt avg=696.8m, throttle avg=1145, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.03V (min=21.13V), amperage max=22.15A, rssi avg=24 (min=28), motor imbalance=304, gyro variability=2.707, acc variability=7.504, GPS sats min=0, GPS speed max=6.95 m/s, alt avg=55.8m, throttle avg=1168, failsafe phase=1, rx signal quality=0.08 → What issues occurred?",rssi drop; motor desync; failsafe triggered; gps loss
"Drone log, vbat avg=23.4V (min=10.77V), amperage max=21.46A, rssi avg=90 (min=16), motor imbalance=83, gyro variability=4.394, acc variability=27.128, GPS sats min=4, GPS speed max=9.22 m/s, alt avg=77.9m, throttle avg=1380, failsafe phase=0, rx signal quality=0.17 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=24.05V (min=23.93V), amperage max=3.87A, rssi avg=67 (min=67), motor imbalance=154, gyro variability=0.037, acc variability=0.134, GPS sats min=8, GPS speed max=2.1 m/s, alt avg=464.9m, throttle avg=1089, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.4V (min=16.31V), amperage max=24.85A, rssi avg=82 (min=64), motor imbalance=214, gyro variability=1.668, acc variability=17.268, GPS sats min=9, GPS speed max=6.98 m/s, alt avg=149.2m, throttle avg=1232, failsafe phase=0, rx signal quality=0.85 → What issues occurred?",no issue
"Drone log, vbat avg=21.9V (min=19.96V), amperage max=20.99A, rssi avg=63 (min=84), motor imbalance=283, gyro variability=0.158, acc variability=3.091, GPS sats min=7, GPS speed max=14.67 m/s, alt avg=99.6m, throttle avg=1022, failsafe phase=0, rx signal quality=0.9 → What issues occurred?",no issue
"Drone log, vbat avg=22.32V (min=22.11V), amperage max=3.97A, rssi avg=59 (min=58), motor imbalance=245, gyro variability=0.044, acc variability=0.174, GPS sats min=13, GPS speed max=16.55 m/s, alt avg=621.9m, throttle avg=1105, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.57V (min=21.49V), amperage max=5.22A, rssi avg=27 (min=27), motor imbalance=254, gyro variability=0.044, acc variability=0.069, GPS sats min=16, GPS speed max=20.65 m/s, alt avg=733.5m, throttle avg=1161, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.42V (min=20.74V), amperage max=6.5A, rssi avg=33 (min=65), motor imbalance=107, gyro variability=1.379, acc variability=19.289, GPS sats min=5, GPS speed max=10.11 m/s, alt avg=81.5m, throttle avg=1004, failsafe phase=0, rx signal quality=0.5 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.73V (min=18.92V), amperage max=9.77A, rssi avg=23 (min=95), motor imbalance=21, gyro variability=0.548, acc variability=0.55, GPS sats min=8, GPS speed max=14.33 m/s, alt avg=134.7m, throttle avg=1423, failsafe phase=0, rx signal quality=0.68 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.84V (min=21.74V), amperage max=5.87A, rssi avg=34 (min=34), motor imbalance=329, gyro variability=0.037, acc variability=0.068, GPS sats min=12, GPS speed max=9.83 m/s, alt avg=695.2m, throttle avg=1160, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.79V (min=14.4V), amperage max=7.85A, rssi avg=80 (min=60), motor imbalance=382, gyro variability=2.344, acc variability=12.561, GPS sats min=1, GPS speed max=5.42 m/s, alt avg=92.9m, throttle avg=1679, failsafe phase=0, rx signal quality=0.03 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=20.03V (min=15.15V), amperage max=9.85A, rssi avg=61 (min=58), motor imbalance=114, gyro variability=1.327, acc variability=12.702, GPS sats min=12, GPS speed max=3.34 m/s, alt avg=60.8m, throttle avg=1073, failsafe phase=1, rx signal quality=0.35 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.5V (min=17.49V), amperage max=7.39A, rssi avg=21 (min=44), motor imbalance=285, gyro variability=3.55, acc variability=1.082, GPS sats min=13, GPS speed max=4.15 m/s, alt avg=84.1m, throttle avg=1524, failsafe phase=0, rx signal quality=0.22 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=20.31V (min=15.61V), amperage max=21.15A, rssi avg=71 (min=14), motor imbalance=195, gyro variability=4.115, acc variability=12.522, GPS sats min=9, GPS speed max=13.69 m/s, alt avg=85.5m, throttle avg=1132, failsafe phase=0, rx signal quality=0.43 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=22.35V (min=22.24V), amperage max=4.02A, rssi avg=36 (min=35), motor imbalance=239, gyro variability=0.042, acc variability=0.246, GPS sats min=13, GPS speed max=16.02 m/s, alt avg=616.2m, throttle avg=1105, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.06V (min=21.97V), amperage max=4.7A, rssi avg=31 (min=31), motor imbalance=195, gyro variability=0.03, acc variability=0.056, GPS sats min=14, GPS speed max=14.82 m/s, alt avg=591.3m, throttle avg=1140, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.42V (min=11.65V), amperage max=21.56A, rssi avg=60 (min=20), motor imbalance=347, gyro variability=2.691, acc variability=4.509, GPS sats min=4, GPS speed max=0.25 m/s, alt avg=144.6m, throttle avg=1022, failsafe phase=0, rx signal quality=0.14 → What issues occurred?",rssi drop; motor desync; failsafe triggered
"Drone log, vbat avg=20.85V (min=20.77V), amperage max=4.85A, rssi avg=51 (min=50), motor imbalance=234, gyro variability=0.031, acc variability=0.066, GPS sats min=15, GPS speed max=19.14 m/s, alt avg=563.9m, throttle avg=1162, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.24V (min=18.79V), amperage max=18.96A, rssi avg=21 (min=23), motor imbalance=61, gyro variability=3.009, acc variability=31.969, GPS sats min=9, GPS speed max=3.19 m/s, alt avg=147.5m, throttle avg=1359, failsafe phase=0, rx signal quality=0.04 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=21.21V (min=12.78V), amperage max=24.41A, rssi avg=42 (min=29), motor imbalance=250, gyro variability=1.42, acc variability=35.304, GPS sats min=4, GPS speed max=23.78 m/s, alt avg=139.0m, throttle avg=1540, failsafe phase=1, rx signal quality=0.86 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=22.48V (min=19.56V), amperage max=7.71A, rssi avg=93 (min=18), motor imbalance=125, gyro variability=4.11, acc variability=8.153, GPS sats min=1, GPS speed max=24.84 m/s, alt avg=84.1m, throttle avg=1422, failsafe phase=1, rx signal quality=0.8 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=18.08V (min=17.88V), amperage max=5.92A, rssi avg=61 (min=59), motor imbalance=604, gyro variability=0.093, acc variability=0.101, GPS sats min=15, GPS speed max=12.65 m/s, alt avg=546.5m, throttle avg=1143, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.44V (min=21.26V), amperage max=7.51A, rssi avg=85 (min=17), motor imbalance=61, gyro variability=1.827, acc variability=25.589, GPS sats min=2, GPS speed max=2.24 m/s, alt avg=64.8m, throttle avg=1713, failsafe phase=0, rx signal quality=0.18 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=22.76V (min=22.67V), amperage max=6.42A, rssi avg=33 (min=33), motor imbalance=370, gyro variability=0.19, acc variability=0.119, GPS sats min=11, GPS speed max=12.47 m/s, alt avg=775.4m, throttle avg=1171, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.72V (min=15.83V), amperage max=23.12A, rssi avg=95 (min=13), motor imbalance=168, gyro variability=3.164, acc variability=10.227, GPS sats min=7, GPS speed max=15.2 m/s, alt avg=147.3m, throttle avg=1004, failsafe phase=0, rx signal quality=0.37 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=23.65V (min=11.46V), amperage max=22.07A, rssi avg=59 (min=94), motor imbalance=92, gyro variability=4.046, acc variability=22.8, GPS sats min=5, GPS speed max=1.18 m/s, alt avg=111.7m, throttle avg=1343, failsafe phase=0, rx signal quality=0.67 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.44V (min=22.37V), amperage max=5.42A, rssi avg=44 (min=43), motor imbalance=177, gyro variability=0.03, acc variability=0.066, GPS sats min=13, GPS speed max=17.28 m/s, alt avg=671.0m, throttle avg=1155, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.58V (min=17.04V), amperage max=12.68A, rssi avg=75 (min=65), motor imbalance=103, gyro variability=0.808, acc variability=10.666, GPS sats min=3, GPS speed max=0.74 m/s, alt avg=99.6m, throttle avg=1086, failsafe phase=1, rx signal quality=0.97 → What issues occurred?",failsafe triggered
